Indent_ID,Truck_Number,Customer_ID,Cluster_ID,MS_Requirement,HSD_Requirement,LDO_Requirement,FO_Requirement,LSHS_Requirement,SKO_Requirement,Latitude,Longitude,Sealing_Status,Customer_Satisfaction,Truck_Capacity
INDENT1,Cluster1_Truck14,Customer1,Cluster1,30.06,14.76,32.28,54.27,7.15,24.04,11.734536,83.450264,Sealed,Good,530.0
INDENT2001,Cluster1_Truck14,Customer1,Cluster1,44.19,23.77,18.36,59.92,25.28,12.85,15.915821,71.563455,Sealed,Good,530.0
INDENT3401,Cluster1_Truck14,Customer1401,Cluster1,16.77,42.87,38.45,16.95,5.39,3.3,18.785632,87.489529,Sealed,Good,530.0
INDENT3501,Cluster1_Truck14,Customer1501,Cluster1,19.61,45.07,2.71,13.93,30.01,15.63,16.858277,83.237239,Sealed,Good,530.0
INDENT4001,Cluster1_Truck14,Customer1,Cluster1,45.35,30.94,15.53,32.65,52.22,34.18,27.176815,72.909129,Sealed,Good,530.0
INDENT4701,Cluster1_Truck14,Customer701,Cluster1,51.92,51.36,55.42,36.77,44.57,39.71,22.546918,72.37539,Sealed,Good,530.0
INDENT5201,Cluster1_Truck14,Customer1201,Cluster1,34.94,48.76,57.79,59.74,23.12,8.28,13.158968,89.177076,Sealed,Good,530.0
INDENT6801,Cluster1_Truck14,Customer801,Cluster1,10.82,49.75,6.36,40.79,55.89,43.85,11.712746,73.339722,Sealed,Good,530.0
INDENT8001,Cluster1_Truck14,Customer1,Cluster1,18.58,38.39,11.56,38.58,22.91,45.56,19.634315,82.709449,Sealed,Good,530.0
INDENT8401,Cluster1_Truck14,Customer401,Cluster1,5.92,52.65,4.87,52.0,13.86,43.81,27.084556,79.738616,Not Sealed,Good,530.0
INDENT12901,Cluster1_Truck14,Customer901,Cluster1,29.52,10.76,36.36,9.72,12.99,37.45,25.789253,76.226565,Sealed,Good,530.0
INDENT13201,Cluster1_Truck14,Customer1201,Cluster1,41.41,31.59,40.69,47.98,9.08,43.58,28.171639,83.387818,Sealed,Good,530.0
INDENT13901,Cluster1_Truck14,Customer1901,Cluster1,50.77,15.93,33.3,32.51,2.9,10.67,28.979023,78.760436,Not Sealed,Good,530.0
INDENT14201,Cluster1_Truck14,Customer201,Cluster1,45.66,47.0,37.42,25.51,28.8,5.28,13.059354,85.823868,Not Sealed,Moderate,530.0
INDENT2,Cluster2_Truck25,Customer2,Cluster2,33.54,54.22,54.39,29.36,16.15,21.1,12.900881,74.03518,Not Sealed,Perfect,450.0
INDENT902,Cluster2_Truck25,Customer902,Cluster2,16.07,31.56,29.44,7.22,56.08,3.03,16.555303,72.095011,Not Sealed,Perfect,450.0
INDENT2602,Cluster2_Truck25,Customer602,Cluster2,33.83,1.09,55.02,14.06,11.32,50.99,12.965741,70.610631,Sealed,Good,450.0
INDENT6702,Cluster2_Truck25,Customer702,Cluster2,41.13,28.89,11.51,47.73,29.09,57.42,11.47991,76.314836,Sealed,Good,450.0
INDENT6902,Cluster2_Truck25,Customer902,Cluster2,12.21,12.83,35.49,37.43,23.72,25.81,17.691937,76.37192,Not Sealed,Moderate,450.0
INDENT10902,Cluster2_Truck25,Customer902,Cluster2,15.99,47.7,49.99,41.6,46.18,36.49,21.32657,81.465586,Not Sealed,Bad,450.0
INDENT12102,Cluster2_Truck25,Customer102,Cluster2,52.1,28.11,53.34,51.81,7.11,12.94,17.669303,77.655846,Not Sealed,Good,450.0
INDENT13102,Cluster2_Truck25,Customer1102,Cluster2,15.62,18.9,2.88,38.83,57.98,42.65,28.789346,85.125798,Sealed,Good,450.0
INDENT13302,Cluster2_Truck25,Customer1302,Cluster2,12.25,15.17,39.82,55.98,6.33,49.57,14.807294,70.088393,Not Sealed,Perfect,450.0
INDENT14702,Cluster2_Truck25,Customer702,Cluster2,38.0,49.26,36.78,17.68,12.71,32.32,13.189461,72.069383,Sealed,Good,450.0
INDENT15802,Cluster2_Truck25,Customer1802,Cluster2,30.15,49.57,12.82,19.29,10.14,43.06,13.258791,76.583517,Sealed,Good,450.0
INDENT17102,Cluster2_Truck25,Customer1102,Cluster2,3.15,16.47,55.32,58.58,51.91,18.34,13.774765,86.122392,Sealed,Good,450.0
INDENT17202,Cluster2_Truck25,Customer1202,Cluster2,49.88,43.43,4.73,16.8,3.34,30.74,19.879039,80.190355,Not Sealed,Bad,450.0
INDENT3,Cluster3_Truck42,Customer3,Cluster3,26.77,24.25,4.67,20.99,1.12,49.12,24.487429,82.825392,Sealed,Good,240.0
INDENT1203,Cluster3_Truck42,Customer1203,Cluster3,2.23,52.2,35.0,16.44,17.19,22.9,10.930686,78.112518,Not Sealed,Moderate,240.0
INDENT1403,Cluster3_Truck42,Customer1403,Cluster3,5.62,12.89,15.62,26.74,10.05,59.38,23.660006,74.423403,Not Sealed,Bad,240.0
INDENT6103,Cluster3_Truck42,Customer103,Cluster3,21.68,47.45,51.67,7.61,26.98,15.24,29.212446,89.363464,Not Sealed,Good,240.0
INDENT7203,Cluster3_Truck42,Customer1203,Cluster3,0.97,51.08,42.25,29.66,36.71,10.77,23.849722,84.100066,Sealed,Good,240.0
INDENT11303,Cluster3_Truck42,Customer1303,Cluster3,0.1,28.84,43.18,27.21,11.71,31.52,10.508232,75.744077,Sealed,Good,240.0
INDENT16603,Cluster3_Truck42,Customer603,Cluster3,48.85,9.07,18.99,22.39,35.17,47.11,14.338285,84.968829,Sealed,Good,240.0
INDENT4,Cluster4_Truck68,Customer4,Cluster4,49.3,44.46,35.41,54.82,19.9,35.07,17.831522,85.077057,Sealed,Good,330.0
INDENT1504,Cluster4_Truck68,Customer1504,Cluster4,46.09,33.99,40.92,59.82,59.18,40.54,20.902357,76.732924,Not Sealed,Moderate,330.0
INDENT12404,Cluster4_Truck68,Customer404,Cluster4,54.16,54.37,14.78,31.56,14.3,43.24,15.924234,79.619667,Sealed,Good,330.0
INDENT13704,Cluster4_Truck68,Customer1704,Cluster4,42.69,30.42,50.56,56.91,21.14,47.27,16.44934,86.441535,Sealed,Good,330.0
