Indent_ID,Truck_Number,Date_of_Receiving,Entering_Time,Exiting_Time,Customer_ID,Cluster_ID,Entering_Storage_Time,Exiting_Storage_Time,Truck_Capacity
INDENT1,Cluster1_Truck14,2022-09-09,2022-09-09 10:00:00,2022-09-09 15:00:00,Customer1,Cluster1,2022-09-09 20:00:00,2022-09-09 21:00:00,530.0
INDENT2001,Cluster1_Truck14,2022-02-13,2022-02-13 07:00:00,2022-02-13 13:00:00,Customer1,Cluster1,2022-02-13 17:00:00,2022-02-13 20:00:00,530.0
INDENT3401,Cluster1_Truck14,2022-03-18,2022-03-18 08:00:00,2022-03-18 10:00:00,Customer1401,Cluster1,2022-03-18 20:00:00,2022-03-19 04:00:00,530.0
INDENT3501,Cluster1_Truck14,2022-09-01,2022-09-01 09:00:00,2022-09-01 12:00:00,Customer1501,Cluster1,2022-09-01 19:00:00,2022-09-02 03:00:00,530.0
INDENT4001,Cluster1_Truck14,2023-10-08,2023-10-08 08:00:00,2023-10-08 13:00:00,Customer1,Cluster1,2023-10-08 17:00:00,2023-10-08 19:00:00,530.0
INDENT4701,Cluster1_Truck14,2023-08-28,2023-08-28 09:00:00,2023-08-28 10:00:00,Customer701,Cluster1,2023-08-28 19:00:00,2023-08-28 20:00:00,530.0
INDENT5201,Cluster1_Truck14,2022-08-01,2022-08-01 10:00:00,2022-08-01 11:00:00,Customer1201,Cluster1,2022-08-01 16:00:00,2022-08-01 20:00:00,530.0
INDENT6801,Cluster1_Truck14,2023-01-07,2023-01-07 06:00:00,2023-01-07 12:00:00,Customer801,Cluster1,2023-01-07 16:00:00,2023-01-07 18:00:00,530.0
INDENT8001,Cluster1_Truck14,2023-06-06,2023-06-06 10:00:00,2023-06-06 17:00:00,Customer1,Cluster1,2023-06-06 17:00:00,2023-06-06 21:00:00,530.0
INDENT8401,Cluster1_Truck14,2023-10-14,2023-10-14 09:00:00,2023-10-14 12:00:00,Customer401,Cluster1,2023-10-14 20:00:00,2023-10-14 23:00:00,530.0
INDENT12901,Cluster1_Truck14,2022-12-17,2022-12-17 09:00:00,2022-12-17 11:00:00,Customer901,Cluster1,2022-12-17 19:00:00,2022-12-17 23:00:00,530.0
INDENT13201,Cluster1_Truck14,2023-11-14,2023-11-14 09:00:00,2023-11-14 11:00:00,Customer1201,Cluster1,2023-11-14 18:00:00,2023-11-15 02:00:00,530.0
INDENT13901,Cluster1_Truck14,2023-05-09,2023-05-09 10:00:00,2023-05-09 14:00:00,Customer1901,Cluster1,2023-05-09 19:00:00,2023-05-10 02:00:00,530.0
INDENT14201,Cluster1_Truck14,2022-06-14,2022-06-14 08:00:00,2022-06-14 12:00:00,Customer201,Cluster1,2022-06-14 20:00:00,2022-06-15 03:00:00,530.0
INDENT2,Cluster2_Truck25,2022-08-05,2022-08-05 08:00:00,2022-08-05 11:00:00,Customer2,Cluster2,2022-08-05 17:00:00,2022-08-05 19:00:00,450.0
INDENT902,Cluster2_Truck25,2022-07-28,2022-07-28 09:00:00,2022-07-28 11:00:00,Customer902,Cluster2,2022-07-28 18:00:00,2022-07-28 19:00:00,450.0
INDENT2602,Cluster2_Truck25,2023-08-31,2023-08-31 08:00:00,2023-08-31 14:00:00,Customer602,Cluster2,2023-08-31 20:00:00,2023-08-31 23:00:00,450.0
INDENT6702,Cluster2_Truck25,2023-03-31,2023-03-31 07:00:00,2023-03-31 15:00:00,Customer702,Cluster2,2023-03-31 20:00:00,2023-03-31 21:00:00,450.0
INDENT6902,Cluster2_Truck25,2023-08-21,2023-08-21 07:00:00,2023-08-21 15:00:00,Customer902,Cluster2,2023-08-21 16:00:00,2023-08-21 19:00:00,450.0
INDENT10902,Cluster2_Truck25,2022-12-10,2022-12-10 08:00:00,2022-12-10 12:00:00,Customer902,Cluster2,2022-12-10 20:00:00,2022-12-10 22:00:00,450.0
INDENT12102,Cluster2_Truck25,2023-10-07,2023-10-07 07:00:00,2023-10-07 13:00:00,Customer102,Cluster2,2023-10-07 18:00:00,2023-10-07 21:00:00,450.0
INDENT13102,Cluster2_Truck25,2022-05-29,2022-05-29 10:00:00,2022-05-29 16:00:00,Customer1102,Cluster2,2022-05-29 19:00:00,2022-05-30 01:00:00,450.0
INDENT13302,Cluster2_Truck25,2022-12-14,2022-12-14 09:00:00,2022-12-14 13:00:00,Customer1302,Cluster2,2022-12-14 20:00:00,2022-12-14 21:00:00,450.0
INDENT14702,Cluster2_Truck25,2022-12-20,2022-12-20 10:00:00,2022-12-20 11:00:00,Customer702,Cluster2,2022-12-20 20:00:00,2022-12-21 00:00:00,450.0
INDENT15802,Cluster2_Truck25,2022-08-06,2022-08-06 07:00:00,2022-08-06 15:00:00,Customer1802,Cluster2,2022-08-06 18:00:00,2022-08-07 02:00:00,450.0
INDENT17102,Cluster2_Truck25,2023-01-26,2023-01-26 09:00:00,2023-01-26 12:00:00,Customer1102,Cluster2,2023-01-26 16:00:00,2023-01-26 17:00:00,450.0
INDENT17202,Cluster2_Truck25,2022-03-09,2022-03-09 07:00:00,2022-03-09 15:00:00,Customer1202,Cluster2,2022-03-09 16:00:00,2022-03-09 18:00:00,450.0
INDENT3,Cluster3_Truck42,2022-09-29,2022-09-29 07:00:00,2022-09-29 11:00:00,Customer3,Cluster3,2022-09-29 20:00:00,2022-09-30 03:00:00,240.0
INDENT1203,Cluster3_Truck42,2023-09-19,2023-09-19 09:00:00,2023-09-19 14:00:00,Customer1203,Cluster3,2023-09-19 16:00:00,2023-09-19 22:00:00,240.0
INDENT1403,Cluster3_Truck42,2022-09-11,2022-09-11 07:00:00,2022-09-11 10:00:00,Customer1403,Cluster3,2022-09-11 17:00:00,2022-09-11 18:00:00,240.0
INDENT6103,Cluster3_Truck42,2023-01-28,2023-01-28 07:00:00,2023-01-28 15:00:00,Customer103,Cluster3,2023-01-28 17:00:00,2023-01-28 19:00:00,240.0
INDENT7203,Cluster3_Truck42,2022-06-02,2022-06-02 07:00:00,2022-06-02 15:00:00,Customer1203,Cluster3,2022-06-02 16:00:00,2022-06-03 00:00:00,240.0
INDENT11303,Cluster3_Truck42,2023-01-08,2023-01-08 07:00:00,2023-01-08 13:00:00,Customer1303,Cluster3,2023-01-08 16:00:00,2023-01-08 18:00:00,240.0
INDENT16603,Cluster3_Truck42,2023-08-29,2023-08-29 10:00:00,2023-08-29 12:00:00,Customer603,Cluster3,2023-08-29 20:00:00,2023-08-30 04:00:00,240.0
INDENT4,Cluster4_Truck68,2022-06-15,2022-06-15 09:00:00,2022-06-15 13:00:00,Customer4,Cluster4,2022-06-15 20:00:00,2022-06-15 22:00:00,330.0
INDENT1504,Cluster4_Truck68,2022-07-10,2022-07-10 09:00:00,2022-07-10 16:00:00,Customer1504,Cluster4,2022-07-10 19:00:00,2022-07-11 03:00:00,330.0
INDENT12404,Cluster4_Truck68,2023-02-24,2023-02-24 06:00:00,2023-02-24 12:00:00,Customer404,Cluster4,2023-02-24 17:00:00,2023-02-24 19:00:00,330.0
INDENT13704,Cluster4_Truck68,2023-08-14,2023-08-14 06:00:00,2023-08-14 13:00:00,Customer1704,Cluster4,2023-08-14 20:00:00,2023-08-14 23:00:00,330.0
INDENT14604,Cluster4_Truck68,2022-10-20,2022-10-20 06:00:00,2022-10-20 08:00:00,Customer604,Cluster4,2022-10-20 18:00:00,2022-10-21 00:00:00,330.0
